Following ,Followers,No. of posts,Ratio,Private_account,Likes,Comments,Recent_post(YYMMDD),Days_between_posts,Official_account,Follow Back
667,317,14,2.104100946,0,102,4,190411,17,1,0
367,533,5,0.688555347,1,206,20,190420,50,0,0
377,328,8,1.149390244,1,99,4,190610,5,0,0
245,405,37,0.604938272,1,125,8,190613,15,0,0
157,241,22,0.651452282,1,68,23,190622,11,0,0
329,309,16,1.064724919,1,163,34,190622,4,0,0
411,694,14,0.59221902,1,258,127,190622,12,0,0
103,827,48,0.124546554,1,237,68,190615,7,0,0
613,722,27,0.849030471,1,239,30,190622,4,0,0
259,481,56,0.538461538,1,163,29,190430,7,0,0
602,238,13,2.529411765,1,100,5,190623,7,0,1
107,194,11,0.551546392,1,94,40,190623,19,0,0
460,992,11,0.463709677,1,141,10,190313,8,0,0
260,343,15,0.758017493,1,116,18,190608,21,0,0
246,152,24,1.618421053,1,78,9,190616,2,0,0
74,87,28,0.850574713,1,41,4,190612,22,0,0
283,402,2,0.7039801,1,70,0,171214,70,0,0
99,317,4,0.312302839,1,96,3,190623,23,0,0
55,75,23,0.733333333,1,37,1,190623,7,0,0
160,188,4,0.85106383,1,102,1,190617,8,0,0
208,301,1,0.6910299,1,54,22,190308,150,0,0
106,415,6,0.255421687,1,96,41,190609,7,0,0
107,483,30,0.221532091,1,151,32,190513,2,0,0
312,348,21,0.896551724,1,48,3,190610,3,0,0
191,242,4,0.789256198,1,91,44,190607,100,0,0
155,161,5,0.962732919,1,69,1,190615,9,0,0
181,611,83,0.296235679,1,176,2,190621,40,0,0
165,168,3,0.982142857,1,89,19,190512,215,0,1
1208,377,70,3.204244032,1,15,1,190623,80,0,1
116,181,12,0.640883978,1,63,14,190616,10,0,0
217,549,4,0.395264117,1,89,20,190605,43,0,0
210,697,23,0.301291248,1,176,38,190613,7,0,0
90,809,4,0.111248455,1,730,49,190525,38,0,0
101,192,14,0.526041667,1,78,0,190424,60,0,0
51,100,4,0.51,1,44,2,190505,5,0,0
337,195,10,1.728205128,1,78,7,171205,60,0,0
88,100,12,0.88,1,46,4,190428,10,0,0
140,97,12,1.443298969,1,39,6,190428,8,0,0
71,66,37,1.075757576,1,23,3,190615,3,0,0
276,509,53,0.542239686,1,87,0,190423,3,0,0
497,702,141,0.707977208,0,115,4,190619,2,0,0
563,529,14,1.064272212,0,110,0,190415,219,0,0
223,213,1,1.046948357,0,75,2,180124,706,0,0
293,516,96,0.567829457,0,171,9,190503,3,0,0
13,11,1,1.181818182,0,3,0,190408,0,0,0
337,195,10,1.728205128,0,78,7,171205,28,0,0
451,213,9,2.117370892,0,111,17,190502,656,0,0
255,75,18,3.4,0,28,1,190604,11,0,0
464,255,28,1.819607843,1,75,15,190622,3,0,0
153,846,42,0.180851064,1,116,8,190526,1,0,0
519,316,28,1.642405063,0,96,1,180412,6,0,0
25,379000,252,6.59631E-05,0,1941,79,190623,2,0,0
61,271000,607,0.000225092,0,2368,40,190623,2,0,0
97,299000,216,0.000324415,0,2417,37,190622,1,0,0
568,459,37,1.237472767,1,144,10,190724,8,0,0
293,606,2,0.48349835,1,246,67,190611,25,0,0
2195,580,574,3.784482759,0,89,12,190723,1,0,0
932,970,33,0.960824742,0,276,20,190721,15,0,0
373,293,13,1.273037543,0,71,0,190324,52,0,0
431,818,14,0.526894866,0,199,16,190602,32,0,0
473,815,16,0.580368098,0,140,1,190623,1,0,0
6274,375,13,16.73066667,1,108,2,190519,2,0,0
67,84,14,0.797619048,1,40,30,190622,5,0,0
275,303,6,0.907590759,1,108,35,190601,32,0,0
287,264,12,1.087121212,1,82,17,180916,39,0,0
508,789,15,0.643852978,1,230,0,190612,25,0,0
384,884,7,0.43438914,1,298,38,190521,34,0,0
131,179,4,0.731843575,1,39,4,190617,12,0,0
123,387,14,0.317829457,1,82,19,190616,21,0,0
620,719,6,0.862308762,1,311,19,190619,10,0,0
301,540,226,0.557407407,1,175,0,190610,1,0,0
390,448,17,0.870535714,1,219,55,190614,26,0,0
282,450,30,0.626666667,0,168,71,190604,25,0,0
127,130,17,0.976923077,0,67,1,190615,7,0,0
157,946,65,0.165961945,0,96,1,190616,8,0,0
473,845,74,0.559763314,0,208,0,190624,17,0,0
379,519,22,0.730250482,0,139,74,190611,37,0,0
389,546,31,0.712454212,0,132,7,190606,9,0,0
93,99,5,0.939393939,0,52,11,190624,4,0,0
177,623,17,0.284109149,1,108,3,190623,7,0,0
626,923,24,0.678223185,1,251,30,190619,6,0,0
300,664,17,0.451807229,0,168,45,190620,22,0,0
613,317,4,1.933753943,0,138,1,190618,21,0,0
78,143,16,0.545454545,0,54,9,190616,24,0,0
624,719,1,0.867872045,0,311,19,190610,9,0,0
64,185000,359,0.000345946,0,7759,472,190624,1,0,0
86,102,2,0.843137255,0,42,2,180914,57,0,0
379,851,8,0.445358402,0,106,1,190624,43,0,0
183,216,7,0.847222222,1,27,0,180816,159,0,0
294,606,2,0.485148515,1,245,67,190611,24,0,0
78,143,16,0.545454545,0,54,9,190616,23,0,0
375,419,9,0.894988067,1,171,12,190531,22,0,0
475,413,6,1.150121065,1,97,17,181226,2,0,0
742,267,45,2.779026217,1,52,1,190522,10,0,0
163,1011,75,0.161226508,1,71,0,190605,6,0,0
316,176,3,1.795454545,1,100,15,190602,3,0,0
196,412,23,0.475728155,1,152,8,190527,8,0,0
18,192000,261,0.00009375,0,595,18,190624,2,0,0
961,348,16,2.761494253,0,76,0,190620,11,0,0
376,497,1,0.756539235,0,201,16,190615,20,0,0
319,488,75,0.653688525,0,181,31,190609,15,0,0
492,678,7,0.725663717,0,191,52,190613,4,0,0
99,9345,999,0.0105939,0,5888,199,181221,37,0,0
811,1003,99,0.808574277,0,28,3,190623,5,0,0
5432,12600,154,0.431111111,0,100,6,190624,0,0,0
514,160000,411,0.0032125,0,2509,378,190624,7,1,0
358,3146,100,0.113795296,0,1467,20,190617,3,0,0
2292,3951,165,0.580106302,0,182,6,190624,3,0,0
503,4597,965,0.109419186,0,247,7,190624,1,0,0
18,27,2,0.666666667,0,8,0,190623,12,0,0
435,418,44,1.040669856,0,192,31,190622,7,0,0
51,369000,276,0.000138211,0,6342,147,190624,1,0,0
69,315000,55,0.000219048,0,5497,243,190624,1,0,0
445,351,33,1.267806268,0,126,26,190624,2,0,0
15,354000,375,4.23729E-05,0,5334,297,190624,2,0,0
1146,3568,0,0.321188341,0,189,6,190622,3,0,0
182,272,10,0.669117647,0,120,11,190621,6,0,0
0,130000,364,0,0,2370,119,190624,1,0,0
91,251000,238,0.00036255,0,2974,152,190624,5,0,0
250,384,11,0.651041667,0,161,20,190612,31,0,0
110,469,12,0.234541578,0,82,15,190623,6,0,0
156,164,4,0.951219512,0,91,28,190528,14,0,0
90,169,29,0.532544379,0,76,0,190608,43,0,0
57,232000,374,0.00024569,0,2887,71,190625,1,0,0
168,91700,196,0.001832061,0,4385,276,190624,2,0,0
312,88300,589,0.003533409,0,695,49,190622,10,0,0
4,104000,597,3.84615E-05,0,951,54,190605,15,0,0
2016,907,37,2.222712238,0,169,19,190624,2,0,0
19,38,0,0.5,0,0,0,0,0,0,0
7,76100,574,9.19842E-05,0,4316,57,190624,1,0,0
311,142000,7,0.002190141,0,1869,105,190624,1,0,0
1231,59600,18,0.020654362,0,404,7,190620,4,0,0
3,249000,254,1.20482E-05,0,1923,45,190626,2,0,0
45,178000,316,0.000252809,0,1174,69,190625,2,0,0
148,212000,547,0.000698113,0,449,0,190625,5,0,0
253,165000,384,0.001533333,0,3036,87,190624,2,0,0
291,452000,10,0.000643805,0,4640,10,190623,1,0,0
13,156000,383,8.33333E-05,0,761,10,190624,1,0,0
156,214000,65,0.000728972,0,1156,0,190622,3,0,0
4,178000,69,2.24719E-05,0,1671,18,190624,1,0,0
187,193,35,0.968911917,0,65,0,190529,30,0,0
11,256000,26,4.29688E-05,0,5917,334,190624,2,0,0
0,0,0,#DIV/0!,1,0,0,0,0,0,0
241,356,14,0.676966292,0,53,0,181109,224,0,0
7,322000,13,2.17391E-05,0,14600,119,190624,3,0,0
254,116000,1046,0.002189655,0,372,10,190626,1,0,0
134,282000,233,0.000475177,0,3234,105,190626,1,0,0
94,416000,731,0.000225962,0,13040,147,190624,1,0,0
1,255000,5,3.92157E-06,0,3920,20,190408,2,0,0
266,266000,124,0.001,0,6699,208,190619,2,0,0
0,2,0,0,0,0,0,0,0,0,0
80,242000,620,0.000330579,0,5139,222,190624,1,0,0
325,305,22,1.06557377,0,142,7,190605,11,0,0
795,238,12,3.340336134,0,28,0,180123,354,0,0
43,365000,403,0.000117808,0,7989,234,190624,1,0,0
43,224000,391,0.000191964,0,4817,51,190624,1,0,0
139,296000,535,0.000469595,0,5289,21,190623,2,0,0
10,78100,157,0.000128041,0,4803,209,190623,2,0,0
15,146000,602,0.00010274,0,1562,72,190624,2,0,0
57,135000,957,0.000422222,0,1296,34,190624,3,0,0
621,554,128,1.120938628,0,166,19,190623,9,0,0
21,227000,325,9.2511E-05,0,10000,356,190624,5,0,0
92,383000,323,0.000240209,0,1724,101,190626,4,0,0
1849,361000,251,0.005121884,0,5996,171,190624,2,0,0
184,130,4,1.415384615,0,104,5,190623,25,0,0
28,325000,202,8.61538E-05,0,2733,88,190623,1,0,0
1,14,0,0.071428571,0,0,0,0,0,0,0
1108,1078,53,1.027829314,0,567,0,190302,11,0,0
